house_id,date,quarter,house_type,sales_type,year_build,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zipcode,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%,purchaseprice
662833,9035,91,Villa,regular_sale,1979,0,5,146,8219.178,12529,4450,Jyderup,6,Zealand,0,0.25,2.55,1200000
1034567,10141,55,Townhouse,regular_sale,1965,-4,4,110,15227.272,47845,5230,Odense M,3,Fyn & islands,4,1.69,5.7,1675000
1235526,1824,36,Apartment,regular_sale,1943,0,2,60,9250,62813,9632,Møldrup,5,Jutland,3.25,2.42,6.69,555000
361188,1031,106,Apartment,regular_sale,1875,0,3,79,20063.291,16381,6000,Kolding,7,Jutland,0,0.42,1.1,1585000
889091,9787,71,Villa,family_sale,1960,0,5,175,9714.286,17601,8600,Silkeborg,2,Jutland,1,2.76,4.75,1700000
914866,3064,68,Villa,regular_sale,1966,0,6,198,10075.758,30292,9200,Aalborg SV,5,Jutland,0.75,2.31,4.53,1995000
801569,339,81,Townhouse,other_sale,1974,0,5,138,10869.565,62176,2635,Ishøj,1,Zealand,0,0.56,3.06,1500000
285690,6635,108,Apartment,regular_sale,1964,0,2,54,27685.186,18016,8930,Randers NA,2,Jutland,0,1.85,1.47,1495000
1323382,3205,24,Apartment,family_sale,1939,0,3,79,31645.57,54131,7100,Vejle,7,Jutland,2.75,2.5,6.6,2500000
600384,638,95,Villa,regular_sale,1969,0,6,134,18097.016,58335,4100,Ringsted,6,Zealand,0,0.81,2.12,2425000
1123933,9841,47,Villa,regular_sale,1970,0,4,122,7213.1147,13432,8860,Ulstrup,2,Jutland,2,1.82,4.36,880000
1133887,7513,47,Villa,regular_sale,1978,0,4,143,17132.867,27567,3070,Snekkersten,4,Zealand,2,1.82,4.36,2450000
1001474,7070,58,Villa,other_sale,1957,0,5,176,1704.5454,19257,2605,Brøndby,1,Zealand,4,3.42,6.52,300000
1396766,4429,13,Villa,regular_sale,1911,0,7,176,3455.2727,5223,9800,Hjørring,5,Jutland,3.25,2.18,7.2,608128
984732,252,61,Villa,regular_sale,1972,-5,3,156,15128.205,48554,4200,Slagelse,6,Zealand,3.5,1.3,5.5,2360000
1380578,1124,16,Villa,regular_sale,1960,0,5,138,9105.797,29540,4600,Køge,6,Zealand,3.25,2.18,7.2,1256600
1297106,2469,28,Apartment,regular_sale,1945,0,2,55,12072.728,57517,8000,Aarhus C,2,Jutland,4.5,2.9,7.33,664000
112792,5278,112,Apartment,regular_sale,1933,0,2,75,6933.3335,48936,9982,Ãlbæk,5,Jutland,2.6,3.31,4.79,520000
14279,6552,116,Villa,regular_sale,1910,0,3,148,10777.027,37006,3760,Gudhjem,0,Bornholm,3.6,1.13,4.34,1595000
1301643,9306,27,Villa,regular_sale,1999,0,4,131,13031.558,17412,6800,Varde,7,Jutland,4.25,2.9,7.33,1707134
811499,1111,80,Apartment,other_sale,1970,0,2,42,10119.048,42731,8800,Viborg,2,Jutland,0,0.79,3.48,425000
456788,1088,102,Summerhouse,family_sale,2020,0,5,124,10080.6455,52298,8300,Odder,2,Jutland,0,0.76,1.35,1250000
430371,3525,103,Summerhouse,regular_sale,1981,0,3,97,8195.876,53348,5602,Avernakø,3,Fyn & islands,0,0.42,1.1,795000
1395876,5559,14,Villa,regular_sale,1944,0,5,138,6942.029,46722,6200,Aabenraa,7,Jutland,3.25,2.18,7.2,958000
852270,848,76,Villa,regular_sale,1935,0,3,84,3787.3809,61608,7752,Snedsted,7,Jutland,0,2.4,3.66,318140
1110595,66,49,Townhouse,regular_sale,1958,0,4,106,15094.34,59373,2880,Bagsværd,1,Zealand,2.25,1.92,5.14,1600000
1164580,1745,44,Villa,regular_sale,1890,0,5,187,1866.3102,43774,6500,Vojens,7,Jutland,2,1.15,5.26,349000
668951,7163,90,Townhouse,regular_sale,1970,-2,4,106,10801.887,32828,4700,Næstved,6,Zealand,0,0.25,2.55,1145000
295413,5112,108,Villa,regular_sale,1988,0,3,132,11704.546,19490,4640,Faxe,6,Zealand,0,1.85,1.47,1545000
760256,3299,84,Summerhouse,family_sale,1966,0,2,43,16279.069,4388,4573,Højby,6,Zealand,0,0.56,3.06,700000
1343720,4517,21,Villa,regular_sale,1974,0,4,160,11341,52462,2750,Ballerup,1,Zealand,3.5,2.5,6.6,1814560
767761,997,84,Villa,regular_sale,1976,-6,5,151,10596.026,16443,5330,Munkebo,3,Fyn & islands,0,0.56,3.06,1600000
1212315,7982,39,Villa,regular_sale,1900,0,4,131,7519.084,21146,4180,Sorø,6,Zealand,2,2.08,5.11,985000
725930,7701,87,Summerhouse,regular_sale,1968,-5,4,95,10000,34467,4573,Højby,6,Zealand,0,0.45,2.78,950000
472922,8693,101,Villa,other_sale,1968,0,7,183,13114.754,32745,2970,Hørsholm,1,Zealand,0,0.76,1.35,2400000
443771,2568,102,Villa,regular_sale,1973,0,5,146,17363.014,37321,5270,Odense N,3,Fyn & islands,0,0.76,1.35,2535000
663145,8393,91,Villa,regular_sale,1903,-7,5,217,9447.005,28496,5540,Ullerslev,3,Fyn & islands,0,0.25,2.55,2050000
478506,7968,101,Apartment,regular_sale,1948,-3,3,59,27966.102,63927,2500,Valby,1,Zealand,0,0.76,1.35,1650000
449435,1952,102,Villa,regular_sale,2020,-2,5,170,22352.941,27181,7120,Vejle Ast,7,Jutland,0,0.76,1.35,3800000
1021113,738,57,Villa,regular_sale,1971,0,4,132,19128.787,17220,3650,Alstykke,4,Zealand,4,3.42,6.52,2525000
1126856,10019,47,Villa,regular_sale,1969,0,4,203,7635.468,2826,3700,Rønne,0,Bornholm,2,1.82,4.36,1550000
978211,5102,62,Villa,regular_sale,1981,0,4,145,5740.552,29445,6740,Bramming,7,Jutland,2,1.3,5.5,832380
849925,1277,76,Apartment,regular_sale,2017,0,3,56,26785.715,39722,3400,Hillerød,4,Zealand,0,2.4,3.66,1500000
1180071,6313,42,Villa,regular_sale,1957,0,4,105,7142.857,37824,9330,Dronninglund,5,Jutland,2,1.15,5.26,750000
1024756,2339,56,Summerhouse,family_sale,1984,0,4,78,6810.8975,12480,4573,Højby,6,Zealand,4,1.69,5.7,531250
1386473,8175,15,Villa,regular_sale,1973,0,6,202,8267.079,43589,4320,Lejre,6,Zealand,3.25,2.18,7.2,1669950
1125131,9547,47,Summerhouse,regular_sale,1973,0,4,76,15000,31232,3630,Jægerspris,4,Zealand,2,1.82,4.36,1140000
108913,5304,112,Villa,regular_sale,1976,-2,4,143,13636.363,5795,8300,Odder,2,Jutland,2.6,3.31,4.79,1950000
568606,7079,96,Villa,regular_sale,1963,0,5,127,7251.5356,16266,8600,Silkeborg,2,Jutland,0,0.81,2.12,920945
665666,7612,91,Villa,regular_sale,1972,-1,4,138,6268.1157,37630,7830,Vinderup,7,Jutland,0,0.25,2.55,865000
739679,5549,86,Summerhouse,regular_sale,1964,0,4,80,9937.5,9028,3740,Svaneke,0,Bornholm,0,0.45,2.78,795000
54706,2269,114,Villa,regular_sale,1972,0,4,140,11392.857,38235,7700,Thisted,7,Jutland,3.6,3.31,4.79,1595000
1455822,9329,3,Villa,regular_sale,1952,0,6,136,4007.2058,63732,2680,Solrød Strand,1,Zealand,5,1.99,8.39,544980
905639,5658,70,Villa,regular_sale,1938,0,3,79,33481.01,30169,2700,Brønshøj,1,Zealand,0.75,2.76,4.75,2645000
1062323,630,53,Villa,regular_sale,1910,0,6,172,13244.187,8076,4420,Regstrup,6,Zealand,3.5,1.69,5.7,2278000
913012,281,69,Apartment,regular_sale,1906,-6,6,150,29333.334,63469,2300,København S,1,Zealand,0.75,2.76,4.75,4400000
618357,1507,94,Villa,regular_sale,1968,0,5,149,11241.61,58919,3700,Rønne,0,Bornholm,0,1.15,2.26,1675000
992513,9904,59,Apartment,regular_sale,1943,0,3,85,14705.883,4673,7500,Holstebro,7,Jutland,4,3.42,6.52,1250000
767994,968,84,Villa,auction,1967,0,4,117,3769.2307,53046,5690,Tommerup,3,Fyn & islands,0,0.56,3.06,441000
713994,9968,87,Villa,regular_sale,1981,-5,5,120,7083.3335,20924,6200,Aabenraa,7,Jutland,0,0.45,2.78,850000
903537,5517,70,Villa,regular_sale,1880,-3,3,99,19676.768,12669,8330,Beder,2,Jutland,0.75,2.76,4.75,1948000
603812,127,95,Villa,regular_sale,1900,0,3,96,16614.584,29499,9270,Klarup,5,Jutland,0,0.81,2.12,1595000
942404,6095,66,Villa,auction,1961,0,6,124,8629.032,62958,4340,Tølløse,6,Zealand,0.75,2.31,4.53,1070000
533927,2215,98,Apartment,regular_sale,1959,-2,4,100,21950,45667,3000,Helsingør,4,Zealand,0,0.81,2.12,2195000
250253,9012,109,Villa,regular_sale,1965,-2,4,103,14223.301,5526,7400,Herning,7,Jutland,0,1.85,1.47,1465000
420464,4755,103,Villa,regular_sale,1969,-6,6,154,20454.545,20934,8361,Hasselager,2,Jutland,0,0.42,1.1,3150000
1100315,4743,49,Villa,regular_sale,1974,0,4,120,10416.667,36352,7100,Vejle,7,Jutland,2.25,1.92,5.14,1250000
1343519,4572,21,Villa,other_sale,1989,0,8,229,6986.8994,19148,8310,Tranbjerg J,2,Jutland,3.5,2.5,6.6,1600000
449747,1869,102,Villa,regular_sale,1936,-2,6,163,8711.656,60190,4281,Gørlev,6,Zealand,0,0.76,1.35,1420000
1431775,9567,7,Apartment,regular_sale,1937,0,6,218,5045.8716,4030,8660,Skanderborg,2,Jutland,6,2.13,9.09,1100000
1117689,1855,48,Villa,regular_sale,1962,0,5,151,21854.305,1193,2970,Hørsholm,1,Zealand,2,1.82,4.36,3300000
966152,8598,63,Townhouse,family_sale,1877,0,4,100,5200,14085,4900,Nakskov,6,Zealand,1.2,1.3,5.5,520000
716183,9556,87,Villa,regular_sale,1916,0,5,144,3819.4443,19335,7870,Roslev,7,Jutland,0,0.45,2.78,550000
880449,3013,72,Apartment,regular_sale,1970,0,3,143,2265.161,64258,4700,Næstved,6,Zealand,1.5,2.76,4.75,323918
38662,482,115,Villa,regular_sale,1907,-3,8,174,9741.379,28927,5610,Assens,3,Fyn & islands,3.6,1.13,4.34,1695000
884995,2506,72,Apartment,regular_sale,1927,0,2,54,32129.629,56302,8700,Horsens,2,Jutland,1.5,2.76,4.75,1735000
1296267,2039,28,Villa,regular_sale,1877,0,4,143,5157.322,20204,6070,Christiansfeld,7,Jutland,4.5,2.9,7.33,737497
488724,6858,100,Villa,regular_sale,2006,-7,5,177,15819.209,34001,8960,Randers SA,2,Jutland,0,0.76,1.35,2800000
1292877,812,29,Apartment,regular_sale,1986,0,3,73,14465.754,35965,2680,Solrød Strand,1,Zealand,4.75,2.34,7.05,1056000
371801,9414,105,Villa,auction,1929,0,5,133,1889.4736,56633,6261,Bredebro,7,Jutland,0,0.42,1.1,251300
962699,846,64,Apartment,regular_sale,1909,0,5,177,24858.758,9710,2100,København A,1,Zealand,1,1.3,5.5,4400000
64950,1231,114,Villa,regular_sale,1908,0,5,142,25316.902,10404,9000,Aalborg,5,Jutland,3.6,3.31,4.79,3595000
1097474,5400,50,Apartment,regular_sale,1966,0,2,47,19106.383,62248,2665,Vallensbæk Strand,1,Zealand,2.5,1.92,5.14,898000
1036337,8913,55,Villa,family_sale,1948,0,5,157,6348.2676,20092,7000,Fredericia,7,Jutland,4,1.69,5.7,996678
749475,4724,85,Villa,regular_sale,2015,0,5,173,7514.4507,41541,8320,Mårslet,2,Jutland,0,0.45,2.78,1300000
1060708,3374,53,Villa,regular_sale,1973,-3,4,109,24770.643,44835,2625,Vallensbæk,1,Zealand,3.5,1.69,5.7,2700000
1174,859,118,Apartment,other_sale,2023,0,5,114,36842.105,13580,2820,Gentofte,1,Zealand,3.1,1.92702541,4.107445433,4200000
1042573,7489,55,Villa,regular_sale,1952,-2,3,104,8413.462,40293,6650,Brørup,7,Jutland,4,1.69,5.7,875000
1378925,1793,16,Villa,regular_sale,1962,0,4,117,6257.906,15405,7000,Fredericia,7,Jutland,3.25,2.18,7.2,732175
569545,6941,96,Villa,regular_sale,2020,0,4,163,6042.945,41446,9970,Strandby,5,Jutland,0,0.81,2.12,985000
956716,3090,64,Apartment,regular_sale,1955,0,2,66,25680,38997,7500,Holstebro,7,Jutland,1,1.3,5.5,1694880
252502,8810,109,Villa,regular_sale,1900,-2,5,94,19148.936,64840,3630,Jægerspris,4,Zealand,0,1.85,1.47,1800000
1123107,1159,48,Villa,family_sale,1935,0,4,146,14315.068,9730,2300,København S,1,Zealand,2,1.82,4.36,2090000
410718,5880,104,Summerhouse,regular_sale,1938,0,3,46,16847.826,29484,8585,Glesborg,2,Jutland,0,0.42,1.1,775000
1139076,7402,46,Summerhouse,regular_sale,1973,0,4,95,29575.389,38227,3100,Hornbæk,4,Zealand,2,1.82,4.36,2809662
1137189,6930,46,Villa,regular_sale,1952,0,3,80,8937.5,63790,7840,Højslev,7,Jutland,2,1.82,4.36,715000
977710,5241,62,Villa,regular_sale,1920,-1,5,131,13549.618,21769,9000,Aalborg,5,Jutland,2,1.3,5.5,1775000
1379153,2493,16,Villa,regular_sale,1959,0,6,152,9891.783,31982,3460,Birkerød,4,Zealand,3.25,2.18,7.2,1503551
923136,1108,68,Apartment,regular_sale,1962,0,3,78,21474.36,34266,2770,Kastrup,1,Zealand,0.75,2.31,4.53,1675000
732555,6688,86,Townhouse,regular_sale,2011,0,4,135,18481.482,62511,8680,Ry,2,Jutland,0,0.45,2.78,2495000
714619,9880,87,Villa,regular_sale,1937,0,5,242,9165.289,22385,7100,Vejle,7,Jutland,0,0.45,2.78,2218000
1260029,3565,33,Townhouse,regular_sale,1988,0,4,104,11586.538,65666,8220,Brabrand,2,Jutland,3.25,2.42,6.69,1205000
703293,2157,88,Townhouse,regular_sale,1960,0,5,109,29357.799,44478,2770,Kastrup,1,Zealand,0,0.45,2.78,3200000
427345,3860,103,Villa,regular_sale,2021,0,6,156,8942.308,27048,4040,Jyllinge,6,Zealand,0,0.42,1.1,1395000
725577,7788,87,Villa,regular_sale,1968,-3,5,139,17500,35113,8600,Silkeborg,2,Jutland,0,0.45,2.78,2432500
459036,1677,102,Summerhouse,regular_sale,1995,0,3,65,19923.076,31239,4736,Karrebæksminde,6,Zealand,0,0.76,1.35,1295000
1002744,6767,58,Summerhouse,regular_sale,1971,0,3,50,8600,51344,2750,Ballerup,1,Zealand,4,3.42,6.52,430000
1399013,3505,13,Villa,regular_sale,1934,0,4,100,10560,8349,2820,Gentofte,1,Zealand,3.25,2.18,7.2,1056000
1305963,7567,27,Villa,regular_sale,2002,0,5,156,4166.6665,56822,4000,Roskilde,6,Zealand,4.25,2.9,7.33,650000
651342,1587,92,Summerhouse,regular_sale,2017,0,4,90,3888.889,50920,4500,Nykøbing Sj,6,Zealand,0,0.25,2.55,350000
840630,556,77,Villa,regular_sale,1988,0,4,106,6603.7734,5242,6000,Kolding,7,Jutland,0,0.79,3.48,700000
729900,7104,86,Apartment,family_sale,1908,0,3,67,38805.97,32904,2000,Frederiksberg,1,Zealand,0,0.45,2.78,2600000
916449,2723,68,Apartment,regular_sale,2014,0,4,111,27860.361,27888,5000,Odense C,3,Fyn & islands,0.75,2.31,4.53,3092500
69202,1567,114,Villa,regular_sale,1951,0,3,82,3658.5366,21007,5500,Middelfart,3,Fyn & islands,3.6,3.31,4.79,300000
541597,1255,98,Apartment,regular_sale,1984,0,2,67,38776.12,26526,8000,Aarhus C,2,Jutland,0,0.81,2.12,2598000
260617,7851,109,Apartment,regular_sale,1958,-1,3,79,19936.709,51767,9000,Aalborg,5,Jutland,0,1.85,1.47,1575000
472237,8780,101,Villa,regular_sale,1983,-6,7,175,18285.715,52461,2750,Ballerup,1,Zealand,0,0.76,1.35,3200000
628438,9441,93,Apartment,regular_sale,1927,-4,3,119,20168.066,64256,9000,Aalborg,5,Jutland,0,1.15,2.26,2400000
619449,1310,94,Apartment,family_sale,1939,0,2,60,16666.666,13253,2300,København S,1,Zealand,0,1.15,2.26,1000000
464881,9533,101,Villa,regular_sale,1929,0,4,106,4056.6038,61054,9670,Løgstør,5,Jutland,0,0.76,1.35,430000
743845,5717,86,Apartment,regular_sale,1974,0,3,74,9729.7295,3825,5462,Morud,3,Fyn & islands,0,0.45,2.78,720000
1466877,4896,1,Apartment,regular_sale,1906,0,2,52,22115.385,6981,9700,Brønderslev,5,Jutland,6.25,1.99,8.39,1150000
634308,8750,93,Villa,regular_sale,2017,-3,5,154,14480.52,17271,9760,Vrå,5,Jutland,0,1.15,2.26,2230000
548301,9734,97,Villa,regular_sale,1967,-4,6,176,24630.682,59052,2650,Hvidovre,1,Zealand,0,0.81,2.12,4335000
2508,7084,116,Villa,regular_sale,1976,0,6,170,5000,972,6780,Skærbæk,7,Jutland,3.6,1.13,4.34,850000
1110963,790,49,Summerhouse,regular_sale,1951,0,4,87,19722.414,47531,4581,Rørvig,6,Zealand,2.25,1.92,5.14,1715850
1272357,9486,31,Villa,regular_sale,1928,0,6,131,5572.519,63461,9940,Læsø,5,Jutland,4.5,2.34,7.05,730000
1377555,3078,16,Villa,regular_sale,1932,0,5,141,2127.6597,15818,7742,Vesløs,7,Jutland,3.25,2.18,7.2,300000
1465275,5642,2,Villa,regular_sale,1927,0,5,100,2980,18766,7990,Aster Assels,7,Jutland,5.5,1.99,8.39,298000
49607,2679,114,Villa,family_sale,1982,0,5,118,6567.7964,14549,8920,Randers NV,2,Jutland,3.6,3.31,4.79,775000
824567,7102,78,Townhouse,regular_sale,1964,-6,3,81,18518.518,26629,2630,Taastrup,1,Zealand,0,0.79,3.48,1500000
1287141,4574,29,Summerhouse,family_sale,1955,0,3,70,8142.857,32126,8400,Ebeltoft,2,Jutland,4.75,2.34,7.05,570000
937827,7463,66,Villa,regular_sale,1934,-6,5,125,12800,57748,5500,Middelfart,3,Fyn & islands,0.75,2.31,4.53,1600000
828720,6181,78,Villa,regular_sale,1959,-4,5,129,14534.884,8597,2660,Brøndby Strand,1,Zealand,0,0.79,3.48,1875000
797316,3855,81,Villa,regular_sale,2015,0,4,137,2153.2847,42350,4690,Haslev,6,Zealand,0,0.56,3.06,295000
106875,5527,112,Summerhouse,regular_sale,1981,-1,3,54,14537.037,30840,9370,Hals,5,Jutland,2.6,3.31,4.79,785000
480334,7675,101,Villa,regular_sale,1927,-6,3,82,17743.902,18625,3200,Helsinge,4,Zealand,0,0.76,1.35,1455000
1268036,2470,32,Villa,regular_sale,1924,0,3,99,15151.516,32404,9500,Hobro,5,Jutland,3.75,2.34,7.05,1500000
1135198,7292,46,Villa,regular_sale,1968,0,6,177,9237.288,42276,8800,Viborg,2,Jutland,2,1.82,4.36,1635000
1123570,9901,47,Villa,regular_sale,1973,0,7,254,10622.047,46367,8210,Aarhus V,2,Jutland,2,1.82,4.36,2698000
146293,8900,117,Apartment,regular_sale,1969,0,1,43,25581.395,12100,4000,Roskilde,6,Zealand,3.35,1.13,4.34,1100000
584756,5165,96,Apartment,regular_sale,1966,0,3,86,20232.559,62253,2665,Vallensbæk Strand,1,Zealand,0,0.81,2.12,1740000
499375,6492,100,Apartment,regular_sale,1969,-6,3,74,16418.918,57816,3050,Humlebæk,4,Zealand,0,0.76,1.35,1215000
543798,913,98,Villa,regular_sale,2006,0,5,131,13167.938,45651,6950,Ringkøbing,7,Jutland,0,0.81,2.12,1725000
260335,7881,109,Villa,regular_sale,1932,-5,6,161,15916.149,33902,7500,Holstebro,7,Jutland,0,1.85,1.47,2562500
779103,7728,83,Villa,regular_sale,2015,0,7,203,8374.384,24997,3400,Hillerød,4,Zealand,0,0.56,3.06,1700000
1392720,5943,14,Apartment,regular_sale,1890,0,2,73,36022.875,6936,8740,Brædstrup,2,Jutland,3.25,2.18,7.2,2629670
1042889,7209,54,Villa,regular_sale,2009,0,6,159,3113.2075,11882,8722,Hedensted,2,Jutland,3.75,1.69,5.7,495000
1298142,1322,28,Villa,regular_sale,1953,0,2,76,19473.684,9840,2740,Skovlunde,1,Zealand,4.5,2.9,7.33,1480000
1299815,1154,28,Apartment,regular_sale,1920,0,2,58,11206.896,26328,8700,Horsens,2,Jutland,4.5,2.9,7.33,650000
1239746,9809,35,Apartment,regular_sale,1970,0,4,115,6514.4956,1888,7100,Vejle,7,Jutland,3.25,2.42,6.69,749167
1098958,4986,50,Villa,regular_sale,1975,0,4,185,14540.541,13228,3660,Stenløse,4,Zealand,2.5,1.92,5.14,2690000
1429815,1234,8,Apartment,regular_sale,1913,0,4,92,4619.5654,45202,4000,Roskilde,6,Zealand,5,2.13,9.09,425000
1143110,5815,46,Villa,regular_sale,1949,0,3,72,9722.223,18440,8870,Langå,2,Jutland,2,1.82,4.36,700000
749709,4112,85,Apartment,regular_sale,1902,-2,3,76,30263.158,59918,2500,Valby,1,Zealand,0,0.45,2.78,2300000
25804,4483,115,Villa,regular_sale,1977,0,4,132,15113.637,18939,5800,Nyborg,3,Fyn & islands,3.6,1.13,4.34,1995000
568035,7135,96,Farm,regular_sale,1877,0,6,183,8196.722,24573,5550,Langeskov,3,Fyn & islands,0,0.81,2.12,1500000
793300,4778,81,Villa,regular_sale,1973,-3,5,162,12006.173,44677,9220,Aalborg Ast,5,Jutland,0,0.56,3.06,1945000
904845,5046,70,Villa,regular_sale,1937,-6,7,165,19393.94,3882,8260,Viby J,2,Jutland,0.75,2.76,4.75,3200000
528131,2811,98,Villa,regular_sale,1968,0,4,140,6035.7144,55836,7490,Aulum,7,Jutland,0,0.81,2.12,845000
988779,1914,60,Villa,family_sale,2004,0,6,173,4482.9478,483,2660,Brøndby Strand,1,Zealand,4.25,3.42,6.52,775550
341809,3198,106,Villa,regular_sale,1929,-2,6,179,12290.503,61759,7700,Thisted,7,Jutland,0,0.42,1.1,2200000
815095,9554,79,Villa,regular_sale,2015,0,4,161,4844.7207,26726,5210,Odense NV,3,Fyn & islands,0,0.79,3.48,780000
14314,6552,116,Villa,regular_sale,1987,-2,4,129,30232.559,1871,4390,Vipperød,6,Zealand,3.6,1.13,4.34,3900000
249578,9100,109,Villa,regular_sale,1952,2,5,148,13689.189,11741,5260,Odense S,3,Fyn & islands,0,1.85,1.47,2026000
443637,2595,102,Apartment,regular_sale,2020,0,2,119,27689.076,16271,7100,Vejle,7,Jutland,0,0.76,1.35,3295000
57694,1928,114,Villa,regular_sale,1957,0,3,96,13489.583,10993,6000,Kolding,7,Jutland,3.6,3.31,4.79,1295000
230966,2324,110,Villa,regular_sale,1977,-4,5,141,10177.305,14090,6310,Broager,7,Jutland,0,1.85,1.47,1435000
1203420,1185,40,Villa,regular_sale,1972,0,5,136,7022.0586,55141,8700,Horsens,2,Jutland,2,2.08,5.11,955000
1300036,9866,27,Apartment,regular_sale,1966,0,1,39,10641.025,43123,2860,Søborg,1,Zealand,4.25,2.9,7.33,415000
375484,9298,105,Summerhouse,regular_sale,2008,-4,6,130,18461.54,9534,6100,Haderslev,7,Jutland,0,0.42,1.1,2400000
72178,9768,113,Apartment,regular_sale,1910,-5,2,72,7291.6665,45686,7700,Thisted,7,Jutland,3.1,3.31,4.79,525000
1465908,4539,1,Villa,regular_sale,1979,0,5,131,6488.55,1560,8300,Odder,2,Jutland,6.25,1.99,8.39,850000
852817,9818,75,Farm,regular_sale,1919,0,4,137,13138.687,49060,9240,Nibe,5,Jutland,0.25,2.4,3.66,1800000
679277,6101,90,Summerhouse,regular_sale,2014,0,5,99,17979.799,23057,6100,Haderslev,7,Jutland,0,0.25,2.55,1780000
83515,7852,113,Villa,regular_sale,1965,1,4,100,26100,16643,5250,Odense SV,3,Fyn & islands,3.1,3.31,4.79,2610000
674512,6381,90,Apartment,regular_sale,1963,-2,3,69,17028.986,57487,2630,Taastrup,1,Zealand,0,0.25,2.55,1175000
327836,370,107,Villa,regular_sale,1936,-5,4,112,25446.428,26970,3400,Hillerød,4,Zealand,0,1.85,1.47,2850000
472268,8780,101,Townhouse,regular_sale,2003,0,4,120,27500,40840,3540,Lynge,4,Zealand,0,0.76,1.35,3300000
467737,10122,101,Villa,other_sale,1971,0,7,197,5076.142,47498,5210,Odense NV,3,Fyn & islands,0,0.76,1.35,1000000
811103,1250,80,Apartment,regular_sale,1943,0,3,75,15333.333,53704,4700,Næstved,6,Zealand,0,0.79,3.48,1150000
